ts-morph,templates
5.972ms,0.496ms
6.560ms,0.854ms
6.429ms,0.614ms
6.999ms,0.949ms
5.501ms,1.939ms
15.331ms,0.812ms
15.911ms,0.821ms
8.495ms,0.597ms
6.849ms,4.921ms
5.895ms,1.125ms
11.002ms,1.442ms
5.605ms,1.571ms
6.521ms,4.543ms
53.863ms,6.407ms
10.870ms,1.106ms
74.848ms,4.892ms
10.506ms,1.041ms
18.783ms,1.941ms
9.924ms,1.232ms
7.494ms,1.301ms
12.765ms,1.243ms
54.574ms,3.931ms
67.379ms,9.387ms
6.923ms,4.354ms
6.685ms,1.482ms
26.239ms,4.421ms
6.967ms,0.858ms
7.872ms,2.316ms
57.907ms,8.342ms
69.140ms,9.595ms
7.377ms,4.577ms
6.081ms,5.943ms
25.221ms,2.580ms
5.346ms,2.614ms
5.486ms,1.276ms
21.404ms,1.439ms
29.220ms,2.886ms
26.482ms,2.000ms
13.714ms,1.160ms
25.330ms,2.151ms
31.337ms,2.860ms
77.759ms,5.195ms
7.122ms,0.955ms
9.457ms,1.077ms
32.137ms,2.032ms
24.536ms,1.694ms
25.847ms,2.393ms
11.485ms,1.595ms
9.423ms,1.008ms
28.147ms,1.995ms
11.112ms,1.154ms
20.265ms,1.398ms
12.097ms,1.130ms
47.833ms,3.062ms
21.403ms,5.319ms
20.044ms,5.602ms
24.655ms,2.778ms
19.914ms,2.082ms
8.813ms,1.431ms
7.495ms,1.031ms
5.303ms,0.887ms
15.634ms,4.064ms
13.253ms,1.490ms
9.385ms,0.943ms
6.337ms,1.207ms
6.257ms,0.898ms
12.987ms,1.676ms
16.140ms,1.625ms
6.112ms,1.413ms
9.678ms,1.177ms
7.002ms,0.952ms
15.562ms,1.328ms
15.763ms,1.357ms
15.339ms,1.101ms
44.225ms,2.874ms
18.250ms,1.548ms
11.120ms,1.286ms
21.169ms,1.982ms
8.228ms,0.878ms
36.003ms,2.351ms
9.705ms,0.855ms
8.598ms,1.118ms
5.605ms,1.027ms
4.984ms,0.863ms
4.905ms,0.733ms
6.544ms,1.457ms
13.939ms,3.180ms
4.779ms,1.027ms
4.467ms,1.232ms
4.852ms,0.802ms
